,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AON CLASS A,8.403502080139505e-19,8.125612365570102e-19,0.0,0.0,0.0,0.009197519831090958,1.6921635802693185e-18,5.8640721154333985e-18,2.4713911562696333e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.480337867617626e-19
PENTAIR,1.2475905589370578e-19,8.3620120922076505e-19,0.0,0.0,9.26390099620575e-19,0.0,5.173990168014557e-18,0.0,2.5156357216875543e-18,0.0,0.0,0.0,4.810200725595388e-18,0.0,1.4293119619873703e-18,0.0,0.0,0.0
MEDTRONIC,0.055334961709908134,0.045116422956674604,0.05397293983076959,0.05518120014576413,0.04349277283759736,0.0,0.0,2.2903828848053826e-18,0.0,0.0,3.0791675937545615e-18,6.90109928701186e-19,1.4959343152415216e-18,2.1320757375578644e-19,0.0,1.3280896080213708e-18,7.226616294746418e-19,0.0
JOHNSON CONTROLS INTL.,0.0,5.995629719162022e-18,0.0,1.5529524910321977e-19,0.0,3.883178518258709e-18,0.0,0.0,0.0,7.405249752602396e-19,0.0,1.2059229897969095e-19,2.937377405505783e-19,0.0,0.0,5.292873631500426e-19,0.0,3.033563630792799e-18
CHECK POINT SFTW.TECHS.,0.0,0.0,0.0,4.2008744561303743e-19,0.0,0.013276738269375782,0.0,0.0,0.0,0.0,1.17360490807364e-18,0.0,0.0,0.019261298567600758,6.071532165918825e-18,0.0,2.581664218703837e-18,0.0
ROYAL CARIBBEAN GROUP,0.0,0.0,0.0,1.5876923238444396e-18,0.0,0.0,0.0,0.0,3.315596839602835e-18,0.0,0.0,3.4081197282638626e-18,0.0,3.1170812458958252e-18,0.0,7.502653214302024e-19,1.1870803641270456e-18,8.342808774894236e-18
TEEKAY,0.0,1.857422959743793e-18,2.163130579288396e-19,6.754130124837196e-19,1.8513534349115123e-18,2.815573387134606e-19,2.8014698048792727e-18,6.8758215493474146e-18,0.0,0.0,0.004129376258265283,0.0,0.0,5.66897697794926e-19,2.870096574218897e-19,1.2865327163838121e-18,2.4175496926528413e-18,0.0
CARNIVAL,2.7649270656637157e-19,1.627711636767181e-18,0.0,6.450891483693171e-19,0.0,1.0786513841452898e-18,4.40756433220326e-19,2.851916542299072e-18,0.0,1.7938213668527707e-18,8.829180837316835e-19,4.420966399747005e-20,0.019271578333481355,0.02038920079902241,0.0,0.0,1.5535572874549667e-18,4.0852664819996443e-19
POPULAR,0.0,1.1674826818176242e-18,0.0,0.0,0.0,3.641361938582908e-18,0.0,0.0,0.0,3.386524781752315e-18,2.0535045598717813e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFLAC,0.0,0.0,0.014669522463644113,0.003673464073634923,0.0,0.0,0.0,7.127025540402582e-18,0.0,0.0,2.743243809125134e-18,0.0,0.0,0.0,0.0,1.1210371588472982e-19,0.0,6.808317601105539e-19
